theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,1.3,1.2,4.4,0.0,-7.462114231224405,-3.5544425435946323,-2.095614825724624,-0.2886420497816289,-1.5234148121235194,Done
0,3.8,1.3,1.2,4.5,0.0,-7.345654022865347,-3.5544425435946323,-2.092914650187595,-0.2723299273638986,-1.425966901719221,Done
0,3.8,1.3,1.1,4.2,0.0,-7.26758926876937,-3.5544425435946323,-1.7378224289423088,-0.3511025126499589,-1.6242217835824704,Done
0,3.8,1.3,1.2,4.2,0.0,-7.325363487005234,-3.5544425435946323,-1.76810668905091,-0.3247533677786123,-1.678060886581079,Done
0,3.8,1.3,1.3,4.2,0.0,-7.374724678651546,-3.5544425435946323,-1.793972651255899,-0.3005333643232006,-1.725776119477814,Done
0,3.8,1.3,1.3,4.3,0.0,-7.509195051534334,-3.5544425435946323,-2.0024753989564488,-0.2839934556977823,-1.6682836532854708,Done
0,3.8,1.3,1.3,4.4,0.0,-7.490600675184396,-3.5544425435946323,-2.0806656549830223,-0.2685039988718927,-1.5869884777348489,Done
0,3.8,1.3,1.4,4.2,0.0,-7.415588757357909,-3.5544425435946323,-1.815653121768264,-0.2788014379766537,-1.7666916540183593,Done
0,3.8,1.3,1.4,4.3,0.0,-7.54041492905526,-3.5544425435946323,-1.9995185718289576,-0.2640957411349518,-1.7223580724967178,Done
0,3.8,1.3,1.4,4.4,0.0,-7.514024368487298,-3.5544425435946323,-2.0615868409513496,-0.2500344970467267,-1.6479604868945898,Done
0,3.8,1.3,1.5,4.2,0.0,-7.447291190037504,-3.5544425435946323,-1.833409772196319,-0.2591233519051457,-1.800315522341407,Done
0,3.8,1.3,1.5,4.3,0.0,-7.564421579125337,-3.5544425435946323,-1.9924063734943047,-0.2456820876832353,-1.771890574353165,Done
0,3.8,1.3,1.5,4.4,0.0,-7.531479186654906,-3.5544425435946323,-2.038285512127913,-0.2328087200294248,-1.705942410902935,Done
0,3.8,1.3,1.6,4.2,0.0,-7.469065787066938,-3.5544425435946323,-1.847329199052183,-0.2408213952294318,-1.8264726491906915,Done
0,3.8,1.3,1.6,4.3,0.0,-7.580691658396972,-3.5544425435946323,-1.9810773079516368,-0.2285730275325477,-1.816598779318156,Done
0,3.8,1.3,1.6,4.4,0.0,-7.542719145814772,-3.5544425435946323,-2.0107026825717185,-0.2169295795029029,-1.760644340145518,Done
0,3.8,1.3,1.7,4.2,0.0,-7.480841639684513,-3.5544425435946323,-1.8571622807357928,-0.2239313360623782,-1.84530547929171,Done
0,3.8,1.3,1.7,4.3,0.0,-7.589068916888209,-3.5544425435946323,-1.9653895579394884,-0.2129342232947237,-1.8563025920593643,Done
0,3.8,1.3,1.7,4.4,0.0,-7.547833352335147,-3.5544425435946323,-1.9789519315963844,-0.202565875602886,-1.811873001541244,Done
0,3.8,1.3,1.8,4.2,0.0,-7.482736092395498,-3.5544425435946323,-1.862452190034673,-0.2086577426525764,-1.857183616113616,Done
0,3.8,1.3,1.8,4.3,0.0,-7.589512566453777,-3.5544425435946323,-1.9452552720758831,-0.1988805093569681,-1.8909342414262933,Done
0,3.8,1.3,1.8,4.4,0.0,-7.546597785112681,-3.5544425435946323,-1.943153113606968,-0.1895130400953348,-1.8594890878157453,Done
0,3.8,1.3,1.9,4.2,0.0,-7.474666313850321,-3.5544425435946323,-1.8626699360320345,-0.1948838981916196,-1.8626699360320345,Done
0,3.8,1.3,1.9,4.3,0.0,-7.581423962546978,-3.5544425435946323,-1.9205232204403728,-0.1859349780716002,-1.9205232204403728,Done
0,3.8,1.3,1.9,4.4,0.0,-7.538350421134965,-3.5544425435946323,-1.903311248664977,-0.1772853802103782,-1.903311248664977,Done
