theta,phi,r,z,status
65,10,4.6,1.3,NotYet
65,15,4.5,1.3,NotYet
65,20,4.4,1.3,NotYet
65,25,4.4,1.3,NotYet
65,30,4.5,1.3,NotYet
65,35,4.6,1.3,NotYet
65,40,4.6,1.3,NotYet
65,45,4.5,1.3,NotYet
65,50,4.5,1.3,NotYet
65,55,4.3,1.3,NotYet
65,60,4.2,1.3,NotYet
65,65,4.4,1.3,NotYet
65,70,4.6,1.3,NotYet
65,75,4.7,1.3,NotYet
65,80,4.8,1.3,NotYet
65,85,4.9,1.3,NotYet
65,90,4.9,1.3,NotYet
70,0,4.7,1.3,NotYet
70,5,4.7,1.3,NotYet
70,10,4.6,1.3,NotYet
70,15,4.5,1.3,NotYet
70,20,4.4,1.3,NotYet
70,25,4.5,1.3,NotYet
70,30,4.6,1.3,NotYet
70,35,4.6,1.3,NotYet
70,40,4.7,1.3,NotYet
70,45,4.6,1.3,NotYet
70,50,4.5,1.3,NotYet
70,55,4.4,1.3,NotYet
70,60,4.3,1.3,NotYet
70,65,4.3,1.3,NotYet
70,70,4.5,1.3,NotYet
70,75,4.6,1.3,NotYet
70,80,4.7,1.3,NotYet
70,85,4.8,1.3,NotYet
70,90,4.8,1.3,NotYet
75,0,4.6,1.3,NotYet
75,5,4.6,1.3,NotYet
75,10,4.5,1.3,NotYet
75,15,4.4,1.3,NotYet
75,20,4.4,1.3,NotYet
75,25,4.5,1.3,NotYet
75,30,4.7,1.3,NotYet
75,35,4.7,1.3,NotYet
75,40,4.7,1.3,NotYet
75,45,4.7,1.3,NotYet
75,50,4.6,1.3,NotYet
75,55,4.5,1.3,NotYet
75,60,4.3,1.3,NotYet
75,65,4.2,1.3,NotYet
75,70,4.4,1.3,NotYet
75,75,4.5,1.3,NotYet
75,80,4.6,1.3,NotYet
75,85,4.6,1.3,NotYet
75,90,4.7,1.3,NotYet
80,0,4.5,1.3,NotYet
80,5,4.5,1.3,NotYet
80,10,4.4,1.3,NotYet
80,15,4.4,1.3,NotYet
80,20,4.4,1.3,NotYet
80,25,4.6,1.3,NotYet
80,30,4.7,1.3,NotYet
80,35,4.8,1.3,NotYet
80,40,4.8,1.3,NotYet
80,45,4.7,1.3,NotYet
80,50,4.7,1.3,NotYet
80,55,4.5,1.3,NotYet
80,60,4.4,1.3,NotYet
80,65,4.1,1.3,NotYet
80,70,4.3,1.3,NotYet
80,75,4.4,1.3,NotYet
80,80,4.4,1.3,NotYet
80,85,4.5,1.3,NotYet
80,90,4.5,1.3,NotYet
85,0,4.3,1.3,NotYet
85,5,4.3,1.3,NotYet
85,10,4.3,1.3,NotYet
85,15,4.3,1.3,NotYet
85,20,4.5,1.3,NotYet
85,25,4.6,1.3,NotYet
85,30,4.7,1.3,NotYet
85,35,4.8,1.3,NotYet
85,40,4.8,1.3,NotYet
85,45,4.8,1.3,NotYet
85,50,4.7,1.3,NotYet
85,55,4.6,1.3,NotYet
85,60,4.4,1.3,NotYet
85,65,4.1,1.3,NotYet
85,70,4.1,1.3,NotYet
85,75,4.2,1.3,NotYet
85,80,4.3,1.3,NotYet
85,85,4.3,1.3,NotYet
85,90,4.3,1.3,NotYet
90,0,4.2,1.3,NotYet
90,5,4.2,1.3,NotYet
90,10,4.2,1.3,NotYet
90,15,4.3,1.3,NotYet
90,20,4.5,1.3,NotYet
90,25,4.6,1.3,NotYet
90,30,4.7,1.3,NotYet
90,35,4.8,1.3,NotYet
90,40,4.8,1.3,NotYet
90,45,4.8,1.3,NotYet
90,50,4.7,1.3,NotYet
90,55,4.6,1.3,NotYet
90,60,4.4,1.3,NotYet
90,65,4.1,1.3,NotYet
90,70,4.0,1.3,NotYet
90,75,4.1,1.3,NotYet
90,80,4.1,1.3,NotYet
90,85,4.1,1.3,NotYet
90,90,4.2,1.3,NotYet
