theta,a2,b2,z2,E2,machine_type,status,file_name
25,-1.9,3.8,0.0,-1.606162673284416,1,Done,C5_theta=25_a2=-1.9_b2=3.8_z2=0.0_2.log
25,-1.9,3.9,0.0,-1.9356493489904096,1,Done,C5_theta=25_a2=-1.9_b2=3.9_z2=0.0_2.log
25,-1.9,4.0,0.0,-2.1081637706956826,2,Done,C5_theta=25_a2=-1.9_b2=4.0_z2=0.0_2.log
25,-1.8,4.0,0.0,-2.044265682430705,2,Done,C5_theta=25_a2=-1.8_b2=4.0_z2=0.0_2.log
25,-1.7,4.0,0.0,-1.9557008035626493,1,Done,C5_theta=25_a2=-1.7_b2=4.0_z2=0.0_2.log
0,1.2,4.4,0.0,-2.095614825724624,2,Done,C5_theta=0_a2=1.2_b2=4.4_z2=0.0_2.log
0,1.3,4.4,0.0,-2.0806656549830223,1,Done,C5_theta=0_a2=1.3_b2=4.4_z2=0.0_2.log
0,1.4,4.2,0.0,-1.815653121768264,1,Done,C5_theta=0_a2=1.4_b2=4.2_z2=0.0_2.log
0,1.4,4.3,0.0,-1.9995185718289576,2,Done,C5_theta=0_a2=1.4_b2=4.3_z2=0.0_2.log
0,1.4,4.4,0.0,-2.0615868409513496,2,Done,C5_theta=0_a2=1.4_b2=4.4_z2=0.0_2.log
5,-1.8,4.1,0.0,-1.9119156658125576,2,Done,C5_theta=5_a2=-1.8_b2=4.1_z2=0.0_2.log
5,-1.8,4.2,0.0,-2.033635035535553,2,Done,C5_theta=5_a2=-1.8_b2=4.2_z2=0.0_2.log
5,-1.8,4.3,0.0,-2.05629065654648,1,Done,C5_theta=5_a2=-1.8_b2=4.3_z2=0.0_2.log
5,-1.7,4.3,0.0,-2.081087969214422,1,Done,C5_theta=5_a2=-1.7_b2=4.3_z2=0.0_2.log
5,-1.6,4.3,0.0,-2.099317762244027,1,Done,C5_theta=5_a2=-1.6_b2=4.3_z2=0.0_2.log
10,-1.6,4.0,0.0,-1.7233639710611897,2,Done,C5_theta=10_a2=-1.6_b2=4.0_z2=0.0_2.log
10,-1.6,4.1,0.0,-1.9981129494408376,2,Done,C5_theta=10_a2=-1.6_b2=4.1_z2=0.0_2.log
10,-1.6,4.2,0.0,-2.1262134683784097,1,Done,C5_theta=10_a2=-1.6_b2=4.2_z2=0.0_2.log
10,-1.5,4.2,0.0,-2.109083700357587,1,Done,C5_theta=10_a2=-1.5_b2=4.2_z2=0.0_2.log
10,-1.4,4.2,0.0,-2.081142562587047,2,Done,C5_theta=10_a2=-1.4_b2=4.2_z2=0.0_2.log
15,-1.7,4.0,0.0,-1.9221911420463584,1,Done,C5_theta=15_a2=-1.7_b2=4.0_z2=0.0_2.log
15,-1.7,4.1,0.0,-2.102748359378893,1,Done,C5_theta=15_a2=-1.7_b2=4.1_z2=0.0_2.log
15,-1.7,4.2,0.0,-2.163688993052346,2,Done,C5_theta=15_a2=-1.7_b2=4.2_z2=0.0_2.log
15,-1.6,4.2,0.0,-2.155907869047951,2,Done,C5_theta=15_a2=-1.6_b2=4.2_z2=0.0_2.log
15,-1.5,4.2,0.0,-2.136190877354238,1,Done,C5_theta=15_a2=-1.5_b2=4.2_z2=0.0_2.log
20,-1.8,4.0,0.0,-2.0389356124942424,1,Done,C5_theta=20_a2=-1.8_b2=4.0_z2=0.0_2.log
20,-1.8,4.1,0.0,-2.150595369399525,2,Done,C5_theta=20_a2=-1.8_b2=4.1_z2=0.0_2.log
20,-1.8,4.2,0.0,-2.162582065386232,1,Done,C5_theta=20_a2=-1.8_b2=4.2_z2=0.0_2.log
20,-1.7,4.2,0.0,-2.167696271877503,2,Done,C5_theta=20_a2=-1.7_b2=4.2_z2=0.0_2.log
20,-1.6,4.2,0.0,-2.160299811541336,2,Done,C5_theta=20_a2=-1.6_b2=4.2_z2=0.0_2.log
25,-2.0,3.9,0.0,-2.0368472592090257,2,Done,C5_theta=25_a2=-2.0_b2=3.9_z2=0.0_2.log
25,-2.0,4.0,0.0,-2.148492583379266,1,Done,C5_theta=25_a2=-2.0_b2=4.0_z2=0.0_2.log
25,-2.0,4.1,0.0,-2.1641156998375664,2,Done,C5_theta=25_a2=-2.0_b2=4.1_z2=0.0_2.log
25,-1.9,4.1,0.0,-2.16678638238227,2,Done,C5_theta=25_a2=-1.9_b2=4.1_z2=0.0_2.log
25,-1.8,4.1,0.0,-2.152031739795348,2,Done,C5_theta=25_a2=-1.8_b2=4.1_z2=0.0_2.log
0,1.5,4.2,0.0,-1.833409772196319,1,Done,C5_theta=0_a2=1.5_b2=4.2_z2=0.0_2.log
0,1.5,4.3,0.0,-1.9924063734943047,2,Done,C5_theta=0_a2=1.5_b2=4.3_z2=0.0_2.log
0,1.5,4.4,0.0,-2.038285512127913,1,Done,C5_theta=0_a2=1.5_b2=4.4_z2=0.0_2.log
5,-1.9,4.1,0.0,-1.9301373011549003,1,Done,C5_theta=5_a2=-1.9_b2=4.1_z2=0.0_2.log
5,-1.9,4.2,0.0,-2.021803961979458,1,Done,C5_theta=5_a2=-1.9_b2=4.2_z2=0.0_2.log
5,-1.9,4.3,0.0,-2.024960337250377,2,Done,C5_theta=5_a2=-1.9_b2=4.3_z2=0.0_2.log
10,-1.7,4.1,0.0,-2.0393654568324564,2,Done,C5_theta=10_a2=-1.7_b2=4.1_z2=0.0_2.log
10,-1.7,4.2,0.0,-2.132509903647588,1,Done,C5_theta=10_a2=-1.7_b2=4.2_z2=0.0_2.log
10,-1.7,4.3,0.0,-2.1310565905150725,2,Done,C5_theta=10_a2=-1.7_b2=4.3_z2=0.0_2.log
10,-1.6,4.3,0.0,-2.1484543052501976,1,Done,C5_theta=10_a2=-1.6_b2=4.3_z2=0.0_2.log
