theta,z1,a1,a1_row
10,2.3,4.1,4.1066339261616225
10,2.4,4.1,4.117207638901506
10,2.5,4.1,4.123534238740967
15,0.0,4.1,4.071742762206086
15,0.1,4.1,4.0696165481630135
15,0.2,4.1,4.063231620518196
15,0.3,4.1,4.052553064528955
15,0.4,4.0,4.03752162693742
15,0.5,4.0,4.018052035439611
15,0.6,4.0,3.994030489851231
15,0.7,4.0,3.965311145767326
15,0.8,4.0,3.951823798623657
15,0.9,4.0,3.9779122316638316
15,1.0,4.0,3.999445387771579
15,1.1,4.0,4.014991431123347
15,1.2,4.0,4.024709525255616
15,1.3,4.0,4.028696299635705
15,1.4,4.0,4.026990775708772
15,1.5,4.0,4.019576303923983
15,1.6,4.0,4.006379740908794
15,1.7,4.0,3.987267770061031
15,1.8,4.0,3.9620399219094242
15,1.9,4.0,3.9657029423221988
15,2.0,4.0,3.992540911928984
15,2.1,4.0,4.014845007439451
15,2.2,4.0,4.034314670859051
15,2.3,4.0,4.049348420453088
15,2.4,4.1,4.060031455497276
15,2.5,4.1,4.066422994551747
20,0.0,4.0,3.9914238552245065
20,0.1,4.0,3.989266728116845
20,0.2,4.0,3.991565832451465
20,0.3,4.1,4.0550511764757164
20,0.4,4.1,4.110350686365282
20,0.5,4.2,4.158237108611316
20,0.6,4.2,4.199302564955142
20,0.7,4.2,4.23400541496664
20,0.8,4.3,4.262701393862038
20,0.9,4.3,4.285747005249528
20,1.0,4.3,4.3053091513225805
20,1.1,4.3,4.3194584928105595
20,1.2,4.3,4.32831443297548
20,1.3,4.3,4.331949917928368
20,1.4,4.3,4.330394503897084
20,1.5,4.3,4.32363557293899
20,1.6,4.3,4.311617815840321
20,1.7,4.3,4.294240931960147
20,1.8,4.3,4.271355317811415
20,1.9,4.2,4.242755296274257
20,2.0,4.2,4.208169131014104
20,2.1,4.2,4.167244602289062
20,2.2,4.1,4.119528159633531
20,2.3,4.1,4.0644343636144535
20,2.4,4.0,4.001199975867579
20,2.5,4.0,3.9871362861844055
25,0.0,4.1,4.138147711894467
25,0.1,4.2,4.212315301040173
25,0.2,4.3,4.277703702145306
25,0.3,4.3,4.335260033749327
