theta,a,b,phi1,phib,A1,A2,E,E_p1,E_t1,E_t2,E_m,machine_type,status,file_name
27,7.8,6,39,118,2,-6,-51.45941852,-10.06748806,-12.66585637,-12.69337268,-16.03270141,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=118_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6,39,116,2,-6,-51.71145791,-9.871234308,-12.72728332,-12.76262469,-16.35031559,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.5_phib=116_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6.1,40,115,2,-6,-51.41049784,-9.697633667,-12.60095928,-12.67484231,-16.43706258,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=27.5_phib=115_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28,7.8,6.2,40,113,2,-6,-51.12710805,-9.327860849,-12.6663772,-12.77418969,-16.3586803,2,Done,mono-C9-BTBT_a=7.8_b=6.2_theta=28.0_phib=113_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28,7.8,6.1,40,114,2,-6,-51.42137886,-9.51490903,-12.69017238,-12.78266735,-16.4336301,2,Done,mono-C9-BTBT_a=7.8_b=6.1_theta=28.0_phib=114_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.8,6,40,117,2,-6,-51.35080909,-9.954981792,-12.55574719,-12.59962896,-16.24045114,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=117_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.8,6,40,118,2,-6,-51.32107766,-10.05375187,-12.57707625,-12.64531797,-16.04493158,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.0_phib=118_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27.5,7.8,6,40,116,2,-6,-51.53397298,-9.852409008,-12.61996029,-12.68970175,-16.37190194,1,Done,mono-C9-BTBT_a=7.8_b=6.0_theta=27.5_phib=116_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.9,5.9,38,119,2,-6,-50.98111157,-10.15016878,-12.61999166,-12.43894248,-15.77200865,2,Done,mono-C9-BTBT_a=7.9_b=5.9_theta=27.0_phib=119_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.9,5.9,39,119,2,-6,-51.17562712,-10.14270768,-12.66184658,-12.59144623,-15.77962662,2,Done,mono-C9-BTBT_a=7.9_b=5.9_theta=27.0_phib=119_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
27,7.9,5.9,40,119,2,-6,-51.16027822,-10.13045869,-12.58057776,-12.66108102,-15.78816076,2,Done,mono-C9-BTBT_a=7.9_b=5.9_theta=27.0_phib=119_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
