cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
2.6,3.3,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.9701900094660232,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.3_cz=8.6.log,-0.2112493589811492,-0.3704819039703579,-0.4675940966117196,-0.9208646499027964
2.6,3.3,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.058918668422848,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.3_cz=8.7.log,-0.1937211221375037,-0.5107479592843447,-0.4699918122787494,-0.8844577747222502
2.6,3.3,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.079509154049447,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.3_cz=8.8.log,-0.177575917361537,-0.597275313193677,-0.4588472346658818,-0.845810688828351
2.6,3.4,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-2.0329435194580583,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.4_cz=8.6.log,-0.2012330443540122,-0.4918643008568324,-0.4540568233205704,-0.8857893509266432
2.6,3.4,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.0954504180990625,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.4_cz=8.7.log,-0.1847257663030177,-0.5843630399322137,-0.4665279570617713,-0.8598336548020598
2.6,3.4,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.0975268486654386,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.4_cz=8.8.log,-0.1694829209009185,-0.635946244437946,-0.4619502716232091,-0.8301474117033649
2.6,3.5,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-2.0348034591879696,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.5_cz=8.6.log,-0.1914796564378775,-0.5723732063779607,-0.4368385764537379,-0.8341120199183933
2.6,3.5,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.0858677129726857,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.5_cz=8.7.log,-0.1759387438069097,-0.6279511395550799,-0.4604379725351464,-0.8215398570755497
2.6,3.5,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.0809417593700346,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.6_cy=3.5_cz=8.8.log,-0.1617218772007618,-0.6526969963742886,-0.4631500707764644,-0.8033728150185198
2.7,3.3,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.9021654153766576,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.3_cz=8.6.log,-0.2018304338562302,-0.342579044343438,-0.4892055409727618,-0.8685503962042276
