theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
5,4.0,1.3,-1.2,4.5,0.0,-1.49948158072948,-0.3121554770186776,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
5,4.0,1.3,-1.1,4.3,0.0,-1.5781543919583785,-0.3902867471333593,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.1_b2=4.3_z2=0.0_3.log
5,4.0,1.3,-1.1,4.4,0.0,-1.518981453991728,-0.3648857698135543,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.1_b2=4.4_z2=0.0_3.log
5,4.0,1.3,-1.1,4.5,0.0,-1.4468705148319714,-0.3407103195786476,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.1_b2=4.5_z2=0.0_3.log
5,4.0,1.3,-1.0,4.3,0.0,-1.5352289428992665,-0.4272822266502771,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.0_b2=4.3_z2=0.0_3.log
5,4.0,1.3,-1.0,4.4,0.0,-1.4667732494854135,-0.3987731923698447,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.0_b2=4.4_z2=0.0_3.log
5,4.0,1.3,-1.0,4.5,0.0,-1.3900764672580408,-0.371915136827738,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.0_b2=4.5_z2=0.0_3.log
10,3.8,1.3,-1.4,4.3,0.0,-1.5713195530406665,-0.3694866731093498,1,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.4_b2=4.3_z2=0.0_3.log
10,3.8,1.3,-1.4,4.4,0.0,-1.6229742937139235,-0.3450727690797066,1,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.4_b2=4.4_z2=0.0_3.log
10,3.8,1.3,-1.4,4.5,0.0,-1.6208765277842758,-0.3219929512706585,2,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.4_b2=4.5_z2=0.0_3.log
10,3.8,1.3,-1.3,4.3,0.0,-1.6134392793028385,-0.4038905363995582,2,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
10,3.8,1.3,-1.3,4.4,0.0,-1.6268441478605382,-0.3767682991892798,2,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
10,3.8,1.3,-1.3,4.5,0.0,-1.599945931753609,-0.3510504293662961,2,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
10,3.8,1.3,-1.2,4.3,0.0,-1.631942039108253,-0.4415304687572643,1,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
